개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명,,,,,,정보
3040000,CDFH3301081993000005,19930610,,03,폐업,03,폐업,20000327,,,,456-4239,,143887,서울특별시 광진구 중곡동 78-8번지 ,서울특별시 광진구 긴고랑로 120  (중곡동),,아트당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207734.915944484    ,450723.734564089    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000006,19930707,,03,폐업,03,폐업,20000725,,,,461-0909,,143915,서울특별시 광진구 화양동 132-65번지 ,서울특별시 광진구 군자로 40  (화양동),,화양당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206146.25599121     ,449377.243337569    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000008,19930819,,01,영업/정상,13,영업중,,,,,466-1792,,143903,서울특별시 광진구 중곡동 230-13번지 ,서울특별시 광진구 면목로 128  (중곡동),,공치는날,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207081.397775132    ,451395.601315024    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000009,19930825,,03,폐업,03,폐업,20210714,,,,458-7950,,,서울특별시 광진구 중곡동 115-9 ,서울특별시 광진구 천호대로 655 (중곡동),04953,준당구장,2021-07-15 10:21:25,U,2021-07-17 02:40:00.0,,207859.45812424     ,450042.160296352    ,당구장업,사립,,0,0,0,0,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000010,19931015,,03,폐업,03,폐업,19980430,,,,,,143914,서울특별시 광진구 화양동 7-1번지 ,서울특별시 광진구 아차산로33길 7  (화양동),,대학당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206109.083667214    ,448718.215631071    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000011,19931015,,03,폐업,03,폐업,20080108,,,,446-6590,,143828,서울특별시 광진구 구의동 257-115번지 ,서울특별시 광진구 아차산로51길 32  (구의동),,한미당구장,2008-01-08 09:33:38,I,2018-08-31 23:59:59.0,,207457.156189532    ,448459.279046036    ,당구장업,사립,0,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000012,19931016,,01,영업/정상,13,영업중,,,,,447-0040,,143847,서울특별시 광진구 능동 276-3번지 ,서울특별시 광진구 능동로 302  (능동),,한일당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206957.372516561    ,450482.338341964    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000013,19931016,,01,영업/정상,13,영업중,,,,,,,143201,서울특별시 광진구 구의동 251-81 지하1층,서울특별시 광진구 아차산로51길 77, 지하1층 (구의동),05039,제다이 당구장,2023-01-18 13:22:29,U,2022-11-30 22:00:00.0,,207436.831990708,448695.800776438,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000014,19931109,,03,폐업,03,폐업,20000311,,,,499-3736,,143914,서울특별시 광진구 화양동 12-36번지 ,서울특별시 광진구 능동로13길 36  (화양동),,원당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206152.457229095    ,449042.908380604    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000015,19931109,,03,폐업,03,폐업,19980303,,,,457-5756,,143890,서울특별시 광진구 중곡동 116-9번지 ,서울특별시 광진구 천호대로 625  (중곡동),,처녀당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207643.386589962    ,450253.157758031    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
