개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,,,정보
3040000,CDFI2262212021000003,20210831,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 중곡동 93-36,서울특별시 광진구 용마산로 6-10 (중곡동),4953,릴릴레지던스 2,2022-01-03,U,2022-01-05 02:40:00.0,,207812.025,450217.7234,외국인관광 도시민박업,,,0,,,,,0,0,3,0,,,0,0,,0,0,,0,50.1,,0,,,,,,,20000000,,,,50,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212021000004,20210923,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 500-14,서울특별시 광진구 광나루로20가길 5, 101호 (화양동),5021,삼삼 게스트하우스,2022-01-03,U,2022-01-05 02:40:00.0,,206510.3408,449248.2948,외국인관광 도시민박업,,,0,,,,,0,0,3,0,,,0,0,,0,0,,0,35.04,,0,,,,,,,5000000,,,,35,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212021000001,20210514,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 588-4 스튜디오 안,서울특별시 광진구 자양번영로1길 31-10, 스튜디오 안 501호 (자양동),5095,Joeng Stay,2022-09-05,U,2022-09-07 02:40:00.0,,206345.106,447601.0557,외국인관광 도시민박업,,주거지역,0,,,,,0,0,2,0,,,0,0,,0,0,,0,29.72,,0,,,,,,,0,,,,30,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212020000003,20200928,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 612-21,서울특별시 광진구 자양로15길 108, 400호 (자양동),5054,이모네하우스,2021-01-04,U,2021-01-06 02:40:00.0,,206819.7581,448021.2883,외국인관광 도시민박업,,일반주거지역,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212022000002,20221007,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 광장동 340-13,서울특별시 광진구 아차산로78가길 54-8, 2층 (광장동),4969,여흔재(Bella's Rooftop Garden),2023-01-10,U,2023-01-12 02:40:00.0,,209480.5757,449568.0057,외국인관광 도시민박업,,주거지역,3,주택가주변,,,,0,0,1,0,,,0,0,,0,0,,0,81.81,,0,,,,,,,2000,,,,82,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212018000003,20181115,,3,폐업,3,폐업,20200325,,,,,,,서울특별시 광진구 자양동 10-26번지 301호,서울특별시 광진구 아차산로28길 20-4, 301호 (자양동),5072,나나랜드(NaNa Land),2020-03-26,U,2020-03-28 02:40:00.0,,205780.332,448621.1664,외국인관광 도시민박업,,일반주거지역,1,주택가주변,,,다가구용 주택(공동주택적용),3,,2,,,,,,,,,,,76,,,,,,,,,130000000,,,,76,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212020000001,20200121,,3,폐업,3,폐업,20200301,,,,,,,서울특별시 광진구 자양동 227-7 더샵스타시티,서울특별시 광진구 아차산로 272, 더샵스타시티 D동 35층 3502호 (자양동),5065,Seoul City's Best View,2021-03-16,U,2021-03-18 02:40:00.0,,206349.675,448396.9397,외국인관광 도시민박업,,주거지역,,,,,아파트,,,2,164,,,,,,,,,,146.25,,,,,,,,,,,,,146,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212012000001,20120614,,3,폐업,3,폐업,20190503,,,,,,143-842,서울특별시 광진구 자양동 854번지 광진트라팰리스 A동 303호,서울특별시 광진구 뚝섬로34길 67, A동 3층 303호 (자양동, 광진트라팰리스),,에밀리홈스테이,2019-05-07,U,2019-05-10 02:40:00.0,,205936.1667,447740.5951,외국인관광 도시민박업,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212012000002,20121217,,3,폐업,3,폐업,20181120,,,,02)447-8369,,143-210,서울특별시 광진구 광장동 258-22번지,서울특별시 광진구 광장로1길 18 (광장동),,Homestay Cafe Naru,2018-11-20,U,2018-11-22 02:36:00.0,,208963.3333,449486.8766,외국인관광 도시민박업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212013000001,20130510,,3,폐업,3,폐업,20200810,,,,02-2201-9410,,143-775,서울특별시 광진구 자양동 792 현대홈타운10차아파트 1004동 402호,서울특별시 광진구 뚝섬로34길 25-19, 1004동 402호 (자양동, 현대홈타운10차아파트),,Happy Day Familly,2020-08-10,U,2020-08-12 02:40:00.0,,206161.5556,447913.607,외국인관광 도시민박업,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212014000001,20141103,,3,폐업,3,폐업,20161107,,,,,,143-752,서울특별시 광진구 광장동 145-8번지 워커힐아파트 24동 603호,서울특별시 광진구 아차산로 637, 24동 603호 (광장동, 워커힐아파트),,서울 워커힐 홈스테이 게스트하우스,2016-11-07,I,2018-08-31 23:59:00.0,,209345.9418,449811.7182,외국인관광 도시민박업,,,,,,,,,,,,Seoul Walkerhill Homestay Guesthouse,Urban Home Visit System<br>for Foreign Tourist,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212015000002,20150306,,3,폐업,3,폐업,20170206,,,,,,143-833,서울특별시 광진구 구의동 663번지 아차산휴먼시아 103동 301호,서울특별시 광진구 천호대로 716, 103동 301호 (구의동, 아차산휴먼시아),,수라 하우스,2017-02-06,I,2018-08-31 23:59:00.0,,208155.3957,449514.2576,외국인관광 도시민박업,,,,,,,,,,,,Sura House,Urban Home Visit System<br>for Foreign Tourist,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212016000004,20160518,,3,폐업,3,폐업,20171228,,,,,,,서울특별시 광진구 자양동 87-1번지 한강우성아파트 102동 202호,서울특별시 광진구 능동로1길 15, 102동 202호 (자양동, 한강우성아파트),,J&J홈스테이,2017-12-28,I,2018-08-31 23:59:00.0,,205739.3638,447816.0924,외국인관광 도시민박업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212016000005,20160520,,3,폐업,3,폐업,20180322,,,,,,,서울특별시 광진구 광장동 396-18번지,서울특별시 광진구 천호대로 798-12 (광장동),,AB(An Bang)게스트하우스,2018-03-22,I,2018-08-31 23:59:00.0,,208929.6869,449209.9807,외국인관광 도시민박업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212018000001,20180419,,3,폐업,3,폐업,20191031,,,,,,,서울특별시 광진구 자양동 859번지 래미안프리미어팰리스 101동 2801호,서울특별시 광진구 아차산로 345, 래미안프리미어팰리스 101동 2801호 (자양동),5026,이고엑스퍼트그룹,2019-10-31,U,2019-11-02 02:40:00.0,,207135.9584,448386.6689,외국인관광 도시민박업,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212018000002,20181017,,3,폐업,3,폐업,20230129,,,,,,,서울특별시 광진구 자양동 10-26 101호,서울특별시 광진구 아차산로28길 20-4, 1층 101호 (자양동),5072,켈리하우스(Kelly House),2023-02-24,U,2023-02-26 02:40:00.0,,205780.332,448621.1664,외국인관광 도시민박업,,일반주거지역,1,주택가주변,,,다가구용 주택(공동주택적용),1,,2,,,,,,,,,,,45,,,,,,,,,,,,,45,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212016000002,20160202,,3,폐업,3,폐업,20210831,,,,,,,서울특별시 광진구 자양동 227-315 더샵스타시티 C동 3606호,서울특별시 광진구 아차산로 262, C동 3606호 (자양동, 더샵스타시티),,36스카이뷰,2021-08-31,U,2021-09-02 02:40:00.0,,206420.7668,448267.4071,외국인관광 도시민박업,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
