관리번호,위도,경도,정보,geometry,index_right
용마산로3-6,37.5610741,127.0875714,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0875714 37.5610741),115667.0
용마산로3-7,37.5614538,127.0875007,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0875007 37.5614538),115667.0
용마산로3-8,37.5617713,127.0874377,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0874377 37.5617713),115667.0
용마산로3-9,37.5622063,127.087355,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.087355 37.5622063),115667.0
용마산로4-1,37.5643519,127.0866701,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0866701 37.5643519),
용마산로4-10,37.5612172,127.0872677,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0872677 37.5612172),115667.0
용마산로4-11,37.5608214,127.0873446,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0873446 37.5608214),115667.0
용마산로4-12,37.5604966,127.0873934,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0873934 37.5604966),115667.0
용마산로4-13,37.5602119,127.0874275,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0874275 37.5602119),115667.0
용마산로4-14,37.5598923,127.0874679,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0874679 37.5598923),115667.0
용마산로4-2,37.5639825,127.0867316,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0867316 37.5639825),
용마산로4-3,37.5636406,127.0867824,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0867824 37.5636406),
용마산로4-4,37.5633446,127.0868296,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0868296 37.5633446),
용마산로4-5,37.5629939,127.0869069,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0869069 37.5629939),115667.0
용마산로4-6,37.5626651,127.0869833,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0869833 37.5626651),115667.0
용마산로4-7,37.5622958,127.0870466,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0870466 37.5622958),115667.0
용마산로4-8,37.561913,127.0871406,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0871406 37.561913),115667.0
용마산로4-9,37.5615595,127.0872007,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0872007 37.5615595),115667.0
용마산로5-1,37.5637367,127.0870484,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0870484 37.5637367),
용마산로5-10,37.5667784,127.0865492,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0865492 37.5667784),
용마산로5-11,37.5671544,127.0864961,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0864961 37.5671544),
용마산로5-12,37.5674855,127.0864377,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0864377 37.5674855),
용마산로5-13,37.5677651,127.0864021,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0864021 37.5677651),
용마산로5-14,37.5680204,127.0863417,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0863417 37.5680204),
용마산로5-2,37.5640378,127.0869967,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0869967 37.5640378),
용마산로5-3,37.5643195,127.0869468,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0869468 37.5643195),
용마산로5-4,37.5646072,127.0868955,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0868955 37.5646072),
