서울시광진구골프연습장업인허가정보.csv,서울시광진구공연장인허가정보.csv,서울시광진구관광숙박업인허가정보.csv,서울시광진구노래연습장업인허가정보.csv,서울시광진구단란주점영업인허가정보.csv,서울시광진구당구장업인허가정보.csv,서울시광진구대규모점포인허가정보.csv,서울시광진구동물병원인허가정보.csv,서울시광진구목욕장업인허가정보.csv,서울시광진구미용업인허가정보.csv,서울시광진구민방위대피시설인허가정보.csv,서울시광진구병원인허가정보.csv,서울시광진구세탁업인허가정보.csv,서울시광진구수영장업인허가정보.csv,서울시광진구숙박업인허가정보.csv,서울시광진구안전상비의약품판매업소인허가정보.csv,서울시광진구약국인허가정보.csv,서울시광진구영화상영관인허가정보.csv,서울시광진구외국인관광도시민박업인허가정보.csv,서울시광진구유흥주점영업인허가정보.csv,서울시광진구의원인허가정보.csv,서울시광진구일반음식점인허가정보.csv,서울시광진구제과점영업인허가정보.csv,서울시광진구집단급식소식품판매업인허가정보.csv,서울시광진구집단급식소인허가정보.csv,서울시광진구체육도장업인허가정보.csv,서울시광진구휴게음식점인허가정보.csv,cctv위치,단속장소,서울특별시 광진구_공영주차장 정보_20220118.csv,서울특별시 광진구_가로등 위치정보_20220214.csv,정보_105102.0,정보_114287.0,정보_114288.0,정보_114746.0,정보_114747.0,정보_114748.0,정보_114749.0,정보_115205.0,정보_115206.0,정보_115207.0,정보_115208.0,정보_115664.0,정보_115665.0,정보_115666.0,정보_115667.0,정보_116123.0,정보_116124.0,정보_116125.0,정보_116126.0,정보_116583.0,정보_116584.0,정보_116585.0,수집순서_1_수집순서,수집순서_2_수집순서,수집순서_3_수집순서
1.0,1.0,0.0,14.0,3.0,13.0,3.0,3.0,1.0,61.0,2.0,2.0,12.0,0.0,3.0,13.0,12.0,0.0,2.0,0.0,32.0,189.0,8.0,2.0,10.0,2.0,68.0,2.0,579.0,0.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.0,0
3.0,0.0,0.0,15.0,5.0,13.0,2.0,2.0,4.0,92.0,0.0,0.0,16.0,0.0,7.0,20.0,8.0,0.0,0.0,0.0,32.0,239.0,9.0,2.0,13.0,4.0,69.0,2.0,3632.0,2.0,155.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0
1.0,11.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,2.0,60.0,3.0,0.0,1.0,0.0,24.0,4.0,3795.0,0.0,85.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0
9.0,0.0,0.0,6.0,3.0,7.0,4.0,3.0,0.0,35.0,2.0,0.0,3.0,1.0,2.0,8.0,10.0,0.0,0.0,0.0,34.0,129.0,9.0,0.0,9.0,4.0,60.0,3.0,5449.0,3.0,203.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,37.0,0.0,0.0,7.0,2.0,16.0,0.0,319.0,3.0,134.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,2.0,1.0,12.0,1.0,182.0,7.0,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,4.0,0.0,6.0,1.0,170.0,0.0,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0
1.0,2.0,1.0,2.0,6.0,6.0,0.0,1.0,1.0,32.0,1.0,0.0,3.0,0.0,2.0,7.0,1.0,0.0,0.0,0.0,3.0,111.0,2.0,0.0,5.0,5.0,57.0,1.0,3685.0,3.0,156.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1134.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
